DATE,NAME.COMP,STATUS,M.Type,ROUND,MAP,Points,ID.BATTLENET1,Tier1,RACE1,R.L1,R.L2,R.R2,R.R1,ID.BATTLENET2,Tier2,RACE2,Points,R,REMARK,REMARK2
24.08.11,1st Auction Draft(Semi) - AvsD,O,T,1,Dark,0,AX_Apple(Z),1,Z,0,1,0,0,AX_Busan(Z),1,Z,1,Z,,Auction
24.08.11,1st Auction Draft(Semi) - AvsD,O,T,2,Dark,1,AX_6666+(P),0,P,1,1,,,AX_HyeonMin(T),2,T,0,P,,Auction
24.08.11,1st Auction Draft(Semi) - AvsD,O,T,3,F.S,1,AX_Jangbi(P),3,P,0,1,0,0,AX_SLiN(P),2,P,0,P,,Auction
24.08.11,1st Auction Draft(Semi) - AvsD,O,T,F,F.S,1,AX_JollyJoo(T),2,T,0,1,0,0,AX_zxc(T),4,T,0,T,,Auction
24.08.11,1st Auction Draft(Semi)- BvsC,O,T,1,Dark,1,AX_Misan(Z),1,Z,,,1,1,AX_DiHing(P),1,P,0,P,,Auction
24.08.11,1st Auction Draft(Semi)- BvsC,O,T,2,F.S,1,AX_Salgu(P),1,P,1,1,,,AX_Shotbebe(T),1,T,0,P,,Auction
24.08.11,1st Auction Draft(Semi)- BvsC,O,T,3,F.S,1,AX_ewrtf(Z),1,Z,1,1,,,AX_Sun(P),3,P,0,Z,,Auction
24.08.11,1st Auction Draft(Semi)- BvsC,O,T,4,Radeon,0,AX_Qw(T),2,T,1,1,,,AX_GoGo(Z),3,Z,1,T,,Auction
24.08.11,1st Auction Draft(Semi)- BvsC,O,T,ACE,F.S,,AX_GoGo(Z),3,Z,1,1,,,AX_Sun(P),3,P,,Z,,Auction
24.08.11,1st Auction Draft(Final) - AvsC,O,T,1,F.S,1,AX_GoGo(Z),3,Z,1,1,,,AX_Jangbi(P),3,P,0,Z,,Auction
24.08.11,1st Auction Draft(Final) - AvsC,O,T,2,F.S,0,AX_Busan(Z),1,Z,,,1,1,AX_Salgu(P),1,P,1,P,,Auction
24.08.11,1st Auction Draft(Final) - AvsC,O,T,3,F.S,1,AX_Misan(Z),1,Z,,,1,1,AX_6666+(P),0,P,0,P,,Auction
24.08.11,1st Auction Draft(Final) - AvsC,O,T,4,Poly,0,AX_JollyJoo(T),2,T,1,1,,,AX_ewrtf(Z),1,Z,1,T,,Auction
24.08.11,1st Auction Draft(Final) - AvsC,O,T,ACE,Poly,,AX_GoGo(Z),3,Z,1,1,,,AX_Jangbi(P),3,P,,Z,,Auction
24.08.15,1st Tier 3&4 Winning Stk.,O,I,1,F.S,,AX_SO(Z),3,Z,1,1,,,AX_Jangbi(P),3,P,,Z,,indiv.
24.08.15,1st Tier 3&4 Winning Stk.,O,I,2,F.S,,AX_SO(Z),3,Z,1,1,,,AX_0dotoss(P),3,P,,Z,,indiv.
24.08.15,1st Tier 3&4 Winning Stk.,O,I,3,F.S,,AX_KingChob(T),3,T,,,1,1,AX_SO(Z),3,Z,,Z,,indiv.
24.08.15,1st Tier 3&4 Winning Stk.,O,I,4,F.S,,AX_Romantic(T),2,T,1,1,,,AX_SO(Z),3,Z,,T,,indiv.
24.08.15,1st Tier 3&4 Winning Stk.,O,I,5,F.S,,AX_Raza(T),3,T,0,0,1,0,AX_Romantic(T),2,T,,T,,indiv.
